hour_of_the_day,trade,position_size_weighted,tp_percentage
0,true,0.19,1
1,true,0.11,2
2,false,,
3,true,1.26,5
4,false,,
5,true,0.93,3
6,true,2,4
7,true,0.13,3
8,true,0.5,5
9,false,,
10,true,1.06,5
11,false,,
12,true,0.48,5
13,false,,
14,true,0.71,2
15,true,2,5
16,true,2,5
17,true,0.62,3
18,false,,
19,false,,
20,true,0.13,3
21,false,,
22,true,0.68,2
23,true,0.88,5
