hour,trade,weight,tp,sl
0,false,,,
1,false,,,
2,true,0.44,5.0,1.0
3,false,,,
4,true,0.58,4.0,0.8
5,false,,,
6,true,0.635,6.0,1.2
7,true,0.055,3.0,0.6
8,false,,,
9,true,0.385,4.0,0.8
10,true,0.525,5.0,1.0
11,true,0.58,3.0,0.6
12,false,,,
13,true,0.72,4.0,0.8
14,false,,,
15,true,1.0,5.0,1.0
16,true,0.58,3.0,0.6
17,true,0.33,3.0,0.6
18,true,0.495,5.0,1.0
19,false,,,
20,true,0.385,7.0,1.4
21,true,0.635,3.0,0.6
22,true,0.525,3.0,0.6
23,true,0.055,4.0,0.8
